Episode,AgentReward,P1Score,P2Score,P3Score,P4Score
164,29.0,29.0,19.0,10,35.0
165,32.0,32.0,17,22.0,22.0
166,9.0,9.0,32,20.0,32.0
167,16,16,22.0,23.0,32.0
168,29,29,19.0,23.0,22.0
169,26,26,19.0,13.0,35.0
170,32.0,32.0,19.0,19,23.0
171,9.0,9.0,32,20.0,32.0
172,9.0,9.0,35.0,17,32.0
173,29.0,29.0,19.0,10,35.0
174,9.0,9.0,35.0,17,32.0
175,19.0,19.0,32.0,10.0,32
176,19.0,19.0,20,22.0,32.0
177,9.0,9.0,32,20.0,32.0
178,19.0,19.0,13.0,32,29.0
179,32.0,32.0,19.0,20,22.0
180,19.0,19.0,32.0,7,35.0
181,29.0,29.0,6,26.0,32.0
182,22.0,22.0,23.0,29,19.0
183,32.0,32.0,10.0,35.0,16
184,22.0,22.0,23.0,29,19.0
185,19,19,32.0,20.0,22.0
186,16,16,22.0,23.0,32.0
187,19.0,19.0,22.0,23.0,29
188,35.0,35.0,20.0,29,9.0
189,19.0,19.0,22.0,23.0,29
190,16,16,32.0,10.0,35.0
191,9,9,35.0,29.0,20.0
192,32.0,32.0,10.0,35.0,16
193,32.0,32.0,6,35.0,20.0
194,32.0,32.0,16,23.0,22.0
195,26,26,9.0,26.0,32.0
196,29.0,29.0,7,25.0,32.0
197,22.0,22.0,23.0,29,19.0
198,32.0,32.0,19.0,23.0,19
199,29,29,10.0,35.0,19.0
200,25.0,25.0,29,29.0,10.0
201,29.0,29.0,6,26.0,32.0
202,19.0,19.0,23.0,22.0,29
203,35.0,35.0,17,32.0,9.0
204,22.0,22.0,23.0,32.0,16
205,29.0,29.0,19.0,13.0,32
206,32.0,32.0,19.0,23.0,19
207,9.0,9.0,35.0,20.0,29
208,29.0,29.0,19.0,10,35.0
209,22.0,22.0,32.0,19.0,20
210,9.0,9.0,32,20.0,32.0
211,19,19,23.0,32.0,19.0
212,9.0,9.0,35.0,17,32.0
213,32,32,20.0,32.0,9.0
214,22.0,22.0,32.0,20.0,19
215,32.0,32.0,16,22.0,23.0
216,22.0,22.0,32.0,20.0,19
217,22.0,22.0,22.0,32.0,17
218,29.0,29.0,19.0,10,35.0
219,22.0,22.0,23.0,32.0,16
220,19,19,23.0,32.0,19.0
221,19.0,19.0,19,23.0,32.0
222,22.0,22.0,23.0,29,19.0
223,22.0,22.0,32.0,17,22.0
224,29,29,20.0,22.0,22.0
225,9.0,9.0,26.0,29,29.0
226,16,16,13.0,35.0,29.0
227,35.0,35.0,20.0,32.0,6
228,32.0,32.0,20.0,19,22.0
229,16,16,22.0,23.0,32.0
230,9.0,9.0,32,20.0,32.0
231,35.0,35.0,17,32.0,9.0
232,19.0,19.0,32.0,7,35.0
233,19,19,23.0,32.0,19.0
234,32.0,32.0,7,35.0,19.0
235,22.0,22.0,20,32.0,19.0
236,32.0,32.0,20.0,22.0,19
237,29.0,29.0,19.0,10,35.0
238,22.0,22.0,29,20.0,22.0
239,32.0,32.0,10.0,32,19.0
